,,WEBSITE LINKS,,,,,
,,,,,,,
PART A & B,CRITERIA 1,CRITERIA 2,CRITERIA 3,CRITERIA 4,CRITERIA 5,CRITERIA 6,CRITERIA 7
https://abes.ac.in/aqar.php,https://abes.ac.in/1.3.2.php,http://abes.ac.in/naac21/ACADEMIC%20MANUAL%20.pdf,https://abes.ac.in/3.1.3.php,https://abes.ac.in/academic-infrastructure.php,https://abes.ac.in/life@abes_new.php,https://abes.ac.in/bog.php,https://abes.ac.in/7.1.1.php
"https://abes.ac.in/academic-
calender_odd23-24.php",https://abes.ac.in/addon.php,https://abes.ac.in/life@abes_new.php,https://publication.abes.ac.in/,https://abes.ac.in/academic-facility.php,https://abes.ac.in/club.php,https://abes.ac.in/naac21/2021-22/organization_chart_updated_3-1-2022%5B1%5D.pdf,https://abes.ac.in/naac21/Criteria%207/7.1.1/7.1.1%20Safety%20at%20Girls%20Hostel.pdf
,https://abes.ac.in/academic-calender_odd23-24.php,https://abes.ac.in/naac21/2021-22/2.5.1.pd%20f,https://abes.ac.in/orbits.html,http://library.abes.ac.in/,https://abes.ac.in/aaa-about-aaa.php,https://abes.ac.in/naac21/2021-22/Startgic%20plan.pdf,https://abes.ac.in/7.1.9.php
,https://abes.ac.in/academic-manual.php,https://abes.ac.in/academic-calenderodd22-%2023.php,https://abes.ac.in/club.php,,,https://abes.ac.in/hr-policies.php,https://abes.ac.in/naac21/2021-22/7.1.9/7.1.9_Any%20other%20relevant%20information.pdf
,https://abes.ac.in/naac21/1.4.2.pdf,https://abes.ac.in/visionmission.php,,,,https://abes.ac.in/CAREER-appraisalform.%20php,https://abes.ac.in/IQAC-best-practices.php
,,http://117.55.241.166/ioncudos_abes/,,,,https://abes.ac.in/IQAC-department.php,https://abes.ac.in/ccpd-seep-overview.php
,,https://abes.ac.in/2.6.3.php,,,,https://abes.ac.in/pdf/hr/POLICY%20FOR%20F%20IN%20ANCIAL%20POWER%20DELEGATION.pdf,https://abes.ac.in/IQAC-institutional-distinctiveness.php
,,https://abes.ac.in/2.7.1.php,,,,https://abes.ac.in/IQAC-minutes-of-meeting.php,
